ligand,siRNA,Normalized_CellCount_Run1,Normalized_CellCount_Run2,Normalized_CellCount_Run3,Median_Proliferation,Proliferation_SD,Run1_Motility,Run2_Motility,Run3_Motility,Median_msd,msd_SD,Run1_Cyto,Run2_Cyto,Run3_Cyto,Median_cyto,cyto_SD,Run1_neighbors,Run2_neighbors,Run3_neighbors,Median_neighbors,neighbors_SD,Normalized_Similarity_Run1,Normalized_Similarity_Run2,Normalized_Similarity_Run3,Median_similarity
IFNG,VEGFA,0.974560605475937,0.8973222952256295,1.02558677200923,0.974560605475937,0.06457708861763192,1.148038371273278,1.09600473192117,1.365558358207885,1.148038371273278,0.14299277475020358,0.9400096758587324,0.91,1.0277777777777777,0.9400096758587324,0.061203792499443584,0.984023194085374,0.9924393157260446,0.9302906397040118,0.9689177165051435,0.03371566509084513,0.7858516453243329,0.9272670125996234,1.0931183092875858,0.9272670125996234
OSM,VEGFA,1.1348486069457784,1.023155634237502,1.1541469041017371,1.1348486069457784,0.07071828759966817,1.2600239845800072,1.1306385841313458,1.135792548362175,1.135792548362175,0.07325821335215421,1.0174804098854733,0.98005698005698,1.1074918566775245,1.0174804098854733,0.06550091784728389,0.9804578937491624,1.017162043771115,1.091311003498651,1.0296436470063095,0.05647075171957301,0.8886784755744856,1.076101206270026,0.913383447242362,0.913383447242362
EGF,TIMP1,0.9481152706764404,0.9595182599964392,0.938886810958004,0.9481152706764404,0.010334806268401645,1.2564172995405174,1.0537004596730293,1.1691728295351356,1.1691728295351356,0.10168544874100052,1.184857423795477,1.2382234185733514,1.1469440832249675,1.184857423795477,0.04585714748631572,0.9716014275616274,0.9552903671323976,0.9882486877805704,0.9717134941581984,0.01647944611261235,1.000206008155519,1.057384511409255,1.8034513975696993,1.057384511409255
IFNG,TIMP1,0.9049773755656108,0.9636272641857948,0.9598944559809264,0.9598944559809264,0.03283704466400859,1.0561894558333116,1.0281218545053228,1.1455872719102584,1.0561894558333116,0.06134313877654438,1.1521961184882534,1.168384879725086,1.2796610169491525,1.168384879725086,0.06939230870629653,0.9462721616902148,1.0273722115484232,0.9827257859563164,0.9854567197316515,0.04061893673171322,1.2190976186037057,0.9105333116356792,0.5928879402920024,0.9105333116356792
OSM,TIMP1,1.1602253386504662,0.8940147636944753,0.9682353255673292,0.9682353255673292,0.13737838691413853,1.401147053052238,0.8957792364573739,1.0420567936347291,1.0420567936347291,0.2600447295473635,1.1405672009864365,1.1704035874439462,1.0904799370574352,1.1405672009864365,0.04038715525147518,1.1240344484042566,0.9427651068535188,1.0620383474110069,1.0429459675562607,0.09213052031193544,0.8364324660934853,0.9562152118865992,0.7527430755064871,0.8364324660934853
EGF,HIF1A,0.947341793812706,1.0229202919821163,0.8825163823637597,0.947341793812706,0.07027055000874403,1.327180756571048,1.1692182213599591,1.1637757775887467,1.1692182213599591,0.09281071227748414,1.1071779744346115,1.1231493943472408,1.1612483745123536,1.1231493943472408,0.02777956895578201,0.9618283699753676,0.9653646110876196,0.9730725741478355,0.9667551850702742,0.00574963510746234,1.0630345811520798,0.9578770248177176,0.837630463124708,0.9578770248177176
IFNG,HIF1A,0.892139615719935,0.9301523231822127,0.8814198164674187,0.892139615719935,0.02560838806372629,1.2879907796059762,1.1804594197208151,1.1960311490244502,1.1960311490244502,0.05811202653632098,0.958120531154239,1.101718213058419,1.0889830508474576,1.0889830508474576,0.07948530017687927,1.5629520254366982,1.0029236422653771,0.969627284,1.1785009839006917,0.3333603371308953,1.117718104247397,0.7623601982319879,0.8329291762831638,0.8329291762831638
OSM,HIF1A,1.0254264835501434,1.0479915036007854,1.069701254145306,1.0479915036007854,0.022138762047012508,1.3112408339554005,1.0002027057899665,1.2900451101856278,1.2900451101856278,0.17378271647119165,1.0745992601726264,1.0508221225710015,0.950432730133753,1.0508221225710015,0.06590486776197563,2.1640011661416834,1.2519251532423237,1.2114360132240938,1.542454110869367,0.5386561046281012,0.6803468683852262,0.9773207178452668,0.3647733400552872,0.6803468683852262
EGF,CTNNB1,0.9179981088484446,0.9273296766755597,0.9466545813608228,0.9273296766755597,0.014615764982027938,0.8809595710727645,1.83538259598021,0.8298457039975637,0.8809595710727645,0.566368604800057,1.24446452779033,1.4002869440459111,1.283839779005525,1.283839779005525,0.08102569351953562,0.9873361149436728,1.027567759522735,1.037173351183173,1.017359075216527,0.026440507851510815,0.9403311495163622,0.8157421069527931,0.923318862449822,0.923318862449822
IFNG,CTNNB1,0.8448051861731939,0.9474152383233896,1.057450701530816,0.9474152383233896,0.10634436293417056,1.0935621231342534,0.8414930739564385,0.9589027456271324,0.9589027456271324,0.12613285621771536,1.1241446725317692,1.2599118942731278,1.2334384858044165,1.2334384858044165,0.07197073186950692,0.9842306818589396,1.0676142669585225,1.0615147362904092,1.0377865617026236,0.046480912942477415,1.0009016197541358,0.8122137412415765,0.6551271124465673,0.8122137412415765
