ligand,siRNA,CellCount,Replicate,Motility,CytoplasmicSize,NearestNeighbor,Similarity
OSM,SP1,1.258823529411765,1,11.892087400021357,871.5,1.083370034782897,0.8104375069689389
OSM,STAT3,2.6179955118474028,1,10.82505794991846,1020,1.372254092667213,0.5902820805780756
OSM,TIMP1,2.821906094527363,1,9.150918305124822,925,1.285205824159917,0.8364324660934853
OSM,TP73,2.2385327844751544,1,6.847321162694194,870,1.0855583149086288,1.0773041999343165
OSM,VEGFA,2.881918173,1,8.873867732419322,844,1.2148661011315007,0.8886784755744856
EGF,CEBPB,1.5967394902350214,2,13.422732887097464,1855,1.3888155660216714,0.9516112018168952
EGF,CEBPD,2.7069557750107345,2,10.192369008465796,1059,1.5618961524740649,0.989376531
EGF,CTNNB1,2.9257684630738523,2,11.58052552,976,1.5969021258722336,0.8157421069527931
EGF,EPAS1,3.1092791173371355,2,12.82884663515079,811,1.5935015508505637,1.016471104759359
EGF,FOSL2,2.548538011695906,2,10.371581128351766,1031,1.499784196814162,0.9285696647494412
EGF,HIF1A,3.196855346,2,13.32855623264104,834.5,1.5635385304044966,0.9578770248177176
EGF,JUN,2.5601280035930833,2,5.722138649667586,1145,1.5436903952533527,0.7405435801665095
EGF,JUNB,2.770869283865401,2,8.004963599306674,862,1.5085833595077962,0.982357568
EGF,NFKB1,2.765158980423072,2,7.102977715981616,875,1.4038086264774918,1.066140872541529
EGF,SCR,3.155046728971963,2,9.951019556,743,1.5655555025250207,1
EGF,SP1,1.2743569415081044,2,22.08072580790421,803,1.1116521715118295,1.0641688750622251
EGF,STAT3,2.3777777777777778,2,16.52398407382091,884,1.5384745639666062,0.9265928369542188
EGF,TIMP1,2.998709775,2,12.011706260253328,920,1.4900441798576891,1.057384511409255
EGF,TP73,2.192349430276723,2,8.584895244962748,947,1.2485326693559624,1.090138664003213
EGF,VEGFA,3.0081967213114753,2,12.933607870948045,754,1.5281444502858257,1.1047613489180748
IFNG,CEBPB,1.6613403451995683,2,15.209398430905615,1925,1.4590619957838735,0.8251648208792108
IFNG,CEBPD,2.3996954701180053,2,18.661994140262387,893.5,1.444789180703168,0.9160038148044396
IFNG,CTNNB1,2.649477074512358,2,14.279621074714754,858,1.539050541450596,0.8122137412415765
IFNG,EPAS1,2.600461006530926,2,24.174569083056703,640,1.444872815189299,0.9253574364775616
IFNG,FOSL2,2.604464618828504,2,13.850128736630545,843,1.4569396497472873,0.8939951416235761
IFNG,HIF1A,2.6170798898071626,2,19.943009136330513,801.5,1.4872564358652594,0.7623601982319879
IFNG,JUN,2.459181785,2,10.34760876461303,1030,1.4531118120351736,0.9138622629830094
IFNG,JUNB,2.465905536440413,2,13.502540675877407,771,1.4132995869166525,0.9187083200807056
IFNG,NFKB1,2.771079343,2,7.667204404051826,776,1.3134916672537638,0.8769510273525415
IFNG,SCR,2.813603562106556,2,16.92128896863785,681,1.4322661909244276,1
IFNG,SP1,1.4471544715447155,2,24.20947041810766,720,1.0608242939336874,0.93103528
IFNG,STAT3,2.0053122372544525,2,30.54544829634458,896.5,1.461800423452837,0.5698844546534905
IFNG,TIMP1,2.7112651030561477,2,17.369376020151535,850,1.4496317270444137,0.9105333116356792
IFNG,TP73,2.112719298245614,2,14.030772562454372,844.5,1.2425569137988102,1.0971759492362505
IFNG,VEGFA,2.788754673569169,2,18.54581277983258,591.5,1.4332908546564829,0.9272670125996234
OSM,CEBPB,2.0161290322580645,2,12.651191428962305,1367,1.193059516012133,0.787980775
OSM,CEBPD,2.6051587301587302,2,10.10784684953289,853,1.239925182980922,1.0108639271773738
OSM,CTNNB1,2.6350093109869643,2,9.30249933,853,1.4816049229644082,0.8548670473130338
OSM,EPAS1,3.2846589759158067,2,16.096671666285005,720,1.4323304853401726,1.107399678
OSM,FOSL2,2.099681176,2,9.794489019,814,1.0277079387976324,1.0196305457338517
OSM,HIF1A,3.028050847457627,2,9.785999458,703,1.4629277989019784,0.9773207178452668
OSM,JUN,2.578692668833514,2,5.847024311351728,739,1.169956555631602,0.7026580605550855
OSM,JUNB,2.186253041,2,5.557599719692967,751,1.0552072099483456,1.004774538003976
OSM,NFKB1,2.0872018174933737,2,5.941732443341221,640.5,0.9213689144677076,0.8684648083051186
OSM,SCR,2.8474166027607364,2,9.784016180884102,702,1.1680254129790375,1
OSM,SP1,1.219535783365571,2,14.089685009640558,709.5,1.0245885123714524,0.7959829721403884
OSM,STAT3,2.47,2,21.396775161113386,786,1.5289612516288458,0.5738320218246623
OSM,TIMP1,2.583152777043809,2,8.764318543998952,783,1.1413473070204656,0.9562152118865992
OSM,TP73,1.9166970248937465,2,12.085773700000878,757.5,0.9406412266912948,0.8701989717836675
OSM,VEGFA,2.9133503401360543,2,9.731176390536032,688,1.1885971185792528,1.076101206270026
EGF,CEBPB,2.2014652014652016,3,11.390432988855322,1438,1.476936465328242,1.3484438177076927
EGF,CEBPD,2.718945724326435,3,7.957144333051409,976,1.567759634259143,1.2628537593010185
EGF,CTNNB1,2.874811463046757,3,10.62353834,929.5,1.599915939265137,0.923318862
EGF,EPAS1,3.2338077557755778,3,12.242647078477072,823,1.5327572484478766,1.0342177872678011
EGF,FOSL2,2.7131613756613753,3,10.332384758861146,895,1.5186076613729136,1.3561069675366555
EGF,HIF1A,2.8569974554707382,3,12.030099602309274,893,1.5342830561057936,0.837630463
EGF,JUN,2.5099435728048443,3,5.861651777421258,1087,1.5118164021451517,0.9186986354362526
EGF,JUNB,2.7598862199747156,3,6.312342485616024,885,1.540868441046824,1.2933711469090117
EGF,NFKB1,2.7081561106385172,3,6.153549775196552,866,1.4834676630879795,1.5304941249517865
EGF,SCR,3.1345770549310372,3,10.337128366114223,769,1.5738060376566356,1
EGF,SP1,1.4212197734925007,3,19.758602231102223,850,1.163320163290236,1.0509695133148655
EGF,STAT3,2.888475323959195,3,15.728319662618077,766.5,1.6055145920354028,0.6714006320717769
EGF,TIMP1,3.0394871794871796,3,12.085889621077682,882,1.558211850959181,1.8034513975696993
EGF,TP73,2.860008310957678,3,8.861497956,792,1.4032644908258702,1.4908186465866278
EGF,VEGFA,3.0289115646258504,3,10.565532888266723,831.5,1.5042279975985031,1.2464207580764506
IFNG,CEBPB,2.0725490196078433,3,19.62086089179637,1576,1.3331676596413664,0.9728206377575032
IFNG,CEBPD,2.5115193370165745,3,19.500250509377615,896,1.4425279218838871,0.8980137274057404
IFNG,CTNNB1,3.058716187204809,3,14.037029795842658,782,1.571007564967299,0.6551271124465673
IFNG,EPAS1,2.766071843757266,3,16.76975035132581,652,1.4595158000955455,0.7569008067155316
IFNG,FOSL2,2.881585460717064,3,15.467189645260396,857.5,1.4214645724316992,1.2076083396426835
IFNG,HIF1A,2.805753486961795,3,18.948273502483172,771,1.4066487963967933,0.8329291762831638
